## Wed Jan 24 14:51:26 2024
## emapper-2.1.12
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_0go7jflx --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_0go7jflx --override -m diamond --dmnd_ignore_warnings -i /emapper_web_jobs/emapper_jobs/user_data/MM_0go7jflx/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype genome --genepred prodigal --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
Xanthobacter_chromosome_598	1131814.JAFO01000001_gene107	1.49e-118	347.0	COG1131@1|root,COG1131@2|Bacteria,1MX56@1224|Proteobacteria,2TTQM@28211|Alphaproteobacteria,3EZCJ@335928|Xanthobacteraceae	28211|Alphaproteobacteria	V	ATPases associated with a variety of cellular activities	MA20_34505	-	-	ko:K01990	-	M00254	-	-	ko00000,ko00002,ko02000	3.A.1	-	-	ABC_tran
Xanthobacter_chromosome_599	1131814.JAFO01000001_gene108	1.12e-167	473.0	COG0842@1|root,COG0842@2|Bacteria,1MVUG@1224|Proteobacteria,2TSUF@28211|Alphaproteobacteria,3EYXJ@335928|Xanthobacteraceae	28211|Alphaproteobacteria	V	ABC-2 family transporter protein	MA20_34500	-	-	ko:K01992	-	M00254	-	-	ko00000,ko00002,ko02000	3.A.1	-	-	ABC2_membrane
Xanthobacter_chromosome_600	1131814.JAFO01000001_gene109	2.02e-81	248.0	2CCJC@1|root,31PRJ@2|Bacteria,1R6D1@1224|Proteobacteria,2TV8P@28211|Alphaproteobacteria,3EZV8@335928|Xanthobacteraceae	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Xanthobacter_chromosome_601	78245.Xaut_1777	3.2e-131	380.0	COG5501@1|root,COG5501@2|Bacteria,1PB0I@1224|Proteobacteria,2TR7M@28211|Alphaproteobacteria,3EZ7Q@335928|Xanthobacteraceae	28211|Alphaproteobacteria	S	Sulphur oxidation protein SoxZ	MA20_34470	-	-	ko:K17226	ko00920,ko01100,ko01120,map00920,map01100,map01120	M00595	R10151	RC03151,RC03152	ko00000,ko00001,ko00002	-	-	-	SoxY,SoxZ
Xanthobacter_chromosome_602	78245.Xaut_1778	1.39e-81	248.0	COG0607@1|root,COG0607@2|Bacteria,1MZG3@1224|Proteobacteria,2U1W0@28211|Alphaproteobacteria,3EZEN@335928|Xanthobacteraceae	28211|Alphaproteobacteria	P	COG0607 Rhodanese-related sulfurtransferase	-	-	-	-	-	-	-	-	-	-	-	-	Rhodanese
Xanthobacter_chromosome_603	1038858.AXBA01000004_gene259	1.73e-142	409.0	COG0834@1|root,COG0834@2|Bacteria,1MWWZ@1224|Proteobacteria,2TU2F@28211|Alphaproteobacteria,3EXZ4@335928|Xanthobacteraceae	28211|Alphaproteobacteria	ET	Bacterial periplasmic substrate-binding proteins	xoxJ	-	-	ko:K02030	-	M00236	-	-	ko00000,ko00002,ko02000	3.A.1.3	-	-	SBP_bac_3
Xanthobacter_chromosome_604	78245.Xaut_1780	1.1e-89	267.0	COG2010@1|root,COG2010@2|Bacteria,1RD7T@1224|Proteobacteria,2U7AF@28211|Alphaproteobacteria,3EZEK@335928|Xanthobacteraceae	28211|Alphaproteobacteria	C	Cytochrome c, mono- and diheme variants	cycB	-	-	-	-	-	-	-	-	-	-	-	Cytochrome_CBB3
Xanthobacter_chromosome_605	1131814.JAFO01000001_gene54	0.0	1127.0	COG4993@1|root,COG4993@2|Bacteria,1MUQX@1224|Proteobacteria,2TS2Q@28211|Alphaproteobacteria,3EYN7@335928|Xanthobacteraceae	28211|Alphaproteobacteria	G	PQQ-like domain	mxaF	-	1.1.2.8	ko:K00114	ko00010,ko00625,ko01100,ko01110,ko01120,ko01130,map00010,map00625,map01100,map01110,map01120,map01130	-	R05062,R05198,R05285	RC00087,RC00088,RC01039	ko00000,ko00001,ko01000	-	-	-	PQQ,PQQ_2
Xanthobacter_chromosome_606	1131814.JAFO01000001_gene53	2.26e-166	471.0	COG0491@1|root,COG0491@2|Bacteria,1MX4H@1224|Proteobacteria,2TR8F@28211|Alphaproteobacteria,3EZ39@335928|Xanthobacteraceae	28211|Alphaproteobacteria	S	Metallo-beta-lactamase superfamily	-	-	-	-	-	-	-	-	-	-	-	-	Lactamase_B
Xanthobacter_chromosome_607	78245.Xaut_1783	6.14e-112	328.0	COG1116@1|root,COG1116@2|Bacteria,1MU6C@1224|Proteobacteria,2TS5F@28211|Alphaproteobacteria,3F1CG@335928|Xanthobacteraceae	28211|Alphaproteobacteria	P	ATPases associated with a variety of cellular activities	-	-	-	ko:K02049	-	M00188	-	-	ko00000,ko00002,ko02000	3.A.1.16,3.A.1.17	-	-	ABC_tran
Xanthobacter_chromosome_608	1131814.JAFO01000001_gene51	1.37e-123	358.0	COG0600@1|root,COG0600@2|Bacteria,1MWS0@1224|Proteobacteria,2TR0G@28211|Alphaproteobacteria,3EZCY@335928|Xanthobacteraceae	28211|Alphaproteobacteria	P	Binding-protein-dependent transport system inner membrane component	MA20_34455	-	-	ko:K02050	-	M00188	-	-	ko00000,ko00002,ko02000	3.A.1.16,3.A.1.17	-	-	BPD_transp_1
Xanthobacter_chromosome_609	1131814.JAFO01000001_gene50	3.03e-137	400.0	COG0715@1|root,COG0715@2|Bacteria,1MWUA@1224|Proteobacteria,2TRS0@28211|Alphaproteobacteria,3EZE9@335928|Xanthobacteraceae	28211|Alphaproteobacteria	P	NMT1/THI5 like	-	-	-	ko:K02051	-	M00188	-	-	ko00000,ko00002,ko02000	3.A.1.16,3.A.1.17	-	-	NMT1
Xanthobacter_chromosome_610	319003.Bra1253DRAFT_06855	1.25e-62	207.0	COG3637@1|root,COG3637@2|Bacteria,1QUBN@1224|Proteobacteria,2TVCZ@28211|Alphaproteobacteria,3JUEC@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	M	Has lipid A 3-O-deacylase activity. Hydrolyzes the ester bond at the 3 position of lipid A, a bioactive component of lipopolysaccharide (LPS), thereby releasing the primary fatty acyl moiety	-	-	-	-	-	-	-	-	-	-	-	-	-
Xanthobacter_chromosome_611	1131814.JAFO01000001_gene4910	7.01e-152	434.0	COG0373@1|root,COG0373@2|Bacteria,1MXX5@1224|Proteobacteria,2U1CR@28211|Alphaproteobacteria,3EXUU@335928|Xanthobacteraceae	28211|Alphaproteobacteria	H	Methylene-tetrahydromethanopterin dehydrogenase, N-terminal	-	-	-	ko:K10714	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	-	R08059	RC00202	ko00000,ko00001,ko01000	-	-	-	Mpt_N
Xanthobacter_chromosome_612	78245.Xaut_1788	3.77e-162	462.0	COG3252@1|root,COG3252@2|Bacteria,1MUP6@1224|Proteobacteria,2U0JJ@28211|Alphaproteobacteria,3EY62@335928|Xanthobacteraceae	28211|Alphaproteobacteria	H	Catalyzes the hydrolysis of methenyl-H(4)MPT( ) to 5- formyl-H(4)MPT	mch	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464	3.5.4.27	ko:K01499	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00567	R03464	RC01870	ko00000,ko00001,ko00002,ko01000	-	-	-	MCH
Xanthobacter_chromosome_613	78245.Xaut_1789	5.38e-160	454.0	COG0189@1|root,COG0189@2|Bacteria,1MX62@1224|Proteobacteria,2TRUH@28211|Alphaproteobacteria,3EYPW@335928|Xanthobacteraceae	28211|Alphaproteobacteria	HJ	RimK-like ATP-grasp domain	-	-	-	ko:K05844	-	-	-	-	ko00000,ko01000,ko03009	-	-	-	RimK
Xanthobacter_chromosome_614	1131814.JAFO01000001_gene2188	4.34e-115	342.0	COG1821@1|root,COG1821@2|Bacteria,1RBY6@1224|Proteobacteria,2UBPG@28211|Alphaproteobacteria,3EZF3@335928|Xanthobacteraceae	28211|Alphaproteobacteria	S	ATP-grasp domain	-	-	-	-	-	-	-	-	-	-	-	-	ATP-grasp_3
Xanthobacter_chromosome_615	78245.Xaut_1791	1.06e-150	434.0	COG1548@1|root,COG1548@2|Bacteria,1RAMA@1224|Proteobacteria,2U38R@28211|Alphaproteobacteria,3EXWD@335928|Xanthobacteraceae	28211|Alphaproteobacteria	GK	Hydantoinase/oxoprolinase	-	-	-	-	-	-	-	-	-	-	-	-	Hydantoinase_A
Xanthobacter_chromosome_616	78245.Xaut_1792	7.52e-70	213.0	COG3474@1|root,COG3474@2|Bacteria,1MYVH@1224|Proteobacteria,2UBC3@28211|Alphaproteobacteria,3EZTR@335928|Xanthobacteraceae	28211|Alphaproteobacteria	C	Cytochrome c	-	-	-	ko:K08738	ko00920,ko01100,ko01120,ko01524,ko02020,ko04115,ko04210,ko04214,ko04215,ko04932,ko05010,ko05012,ko05014,ko05016,ko05134,ko05145,ko05152,ko05161,ko05164,ko05167,ko05168,ko05200,ko05210,ko05222,ko05416,map00920,map01100,map01120,map01524,map02020,map04115,map04210,map04214,map04215,map04932,map05010,map05012,map05014,map05016,map05134,map05145,map05152,map05161,map05164,map05167,map05168,map05200,map05210,map05222,map05416	M00595	R10151	RC03151,RC03152	ko00000,ko00001,ko00002	3.D.4.6	-	-	Cytochrom_C
Xanthobacter_chromosome_617	78245.Xaut_1793	1.51e-32	127.0	COG2218@1|root,COG2218@2|Bacteria,1MUUQ@1224|Proteobacteria,2U51Y@28211|Alphaproteobacteria,3EZI2@335928|Xanthobacteraceae	28211|Alphaproteobacteria	C	GXGXG motif	-	-	1.2.7.12	ko:K00202	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00567	R03015,R08060,R11743	RC00197,RC00323	ko00000,ko00001,ko00002,ko01000	-	-	-	GXGXG
Xanthobacter_chromosome_618	78245.Xaut_1794	3.28e-171	484.0	COG2037@1|root,COG2037@2|Bacteria,1MVSD@1224|Proteobacteria,2TUWS@28211|Alphaproteobacteria,3EYXX@335928|Xanthobacteraceae	28211|Alphaproteobacteria	C	Catalyzes the transfer of a formyl group from 5-formyl tetrahydromethanopterin (5-formyl-H(4)MPT) to methanofuran (MFR) so as to produce formylmethanofuran (formyl-MFR) and tetrahydromethanopterin (H(4)MPT)	ffsA	GO:0003674,GO:0003824,GO:0006730,GO:0008150,GO:0008152,GO:0009987,GO:0016410,GO:0016740,GO:0016746,GO:0016747,GO:0030270,GO:0044237,GO:0044281	2.3.1.101	ko:K00672	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00567	R03390	RC00197,RC00870,RC02881	ko00000,ko00001,ko00002,ko01000	-	-	-	FTR,FTR_C
Xanthobacter_chromosome_619	78245.Xaut_1795	0.0	1047.0	COG1229@1|root,COG1229@2|Bacteria,1NX13@1224|Proteobacteria,2TT1T@28211|Alphaproteobacteria,3EYK5@335928|Xanthobacteraceae	28211|Alphaproteobacteria	C	Amidohydrolase family	-	-	1.2.7.12	ko:K00200	ko00680,ko01100,ko01120,ko01130,ko01200,map00680,map01100,map01120,map01130,map01200	M00567	R03015,R08060	RC00197,RC00323	ko00000,ko00001,ko00002,ko01000	-	-	-	Amidohydro_3
Xanthobacter_chromosome_620	78245.Xaut_1796	2.08e-203	576.0	COG1029@1|root,COG1029@2|Bacteria,1R64R@1224|Proteobacteria,2TVI1@28211|Alphaproteobacteria,3EY8Z@335928|Xanthobacteraceae	28211|Alphaproteobacteria	C	Formylmethanofuran dehydrogenase, subunit B	-	-	1.2.7.12	ko:K00201	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00567	R03015,R08060	RC00197,RC00323	ko00000,ko00001,ko00002,ko01000	-	-	-	-
Xanthobacter_chromosome_621	78245.Xaut_1797	2.75e-52	167.0	2C7YM@1|root,32RK3@2|Bacteria,1N2IQ@1224|Proteobacteria,2UC0T@28211|Alphaproteobacteria,3EZTS@335928|Xanthobacteraceae	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Xanthobacter_chromosome_622	78245.Xaut_1798	6.11e-86	262.0	2C1VZ@1|root,32U3F@2|Bacteria,1N5Y8@1224|Proteobacteria,2UD0D@28211|Alphaproteobacteria,3F03F@335928|Xanthobacteraceae	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Xanthobacter_chromosome_623	1131814.JAFO01000001_gene4922	2.15e-236	655.0	COG0535@1|root,COG0535@2|Bacteria,1MUQP@1224|Proteobacteria,2TTS5@28211|Alphaproteobacteria,3EZ2Q@335928|Xanthobacteraceae	28211|Alphaproteobacteria	S	Iron-sulfur cluster-binding domain	pqqE	-	-	ko:K06139	-	-	-	-	ko00000	-	-	-	Fer4_12,PqqD,Radical_SAM,SPASM
Xanthobacter_chromosome_624	78245.Xaut_1800	7.94e-44	144.0	COG0535@1|root,COG0535@2|Bacteria,1N7TR@1224|Proteobacteria,2UFAS@28211|Alphaproteobacteria,3F06X@335928|Xanthobacteraceae	28211|Alphaproteobacteria	S	Coenzyme PQQ synthesis protein D (PqqD)	pqqD	-	-	ko:K06138	-	-	-	-	ko00000	-	-	-	PqqD
Xanthobacter_chromosome_625	78245.Xaut_1801	4.15e-167	469.0	COG5424@1|root,COG5424@2|Bacteria,1MW7G@1224|Proteobacteria,2TSQT@28211|Alphaproteobacteria,3EXY8@335928|Xanthobacteraceae	28211|Alphaproteobacteria	H	Ring cyclization and eight-electron oxidation of 3a-(2- amino-2-carboxyethyl)-4,5-dioxo-4,5,6,7,8,9-hexahydroquinoline- 7,9-dicarboxylic-acid to PQQ	pqqC	-	1.3.3.11	ko:K06136,ko:K06137	-	-	-	-	ko00000,ko01000	-	-	-	TENA_THI-4
Xanthobacter_chromosome_626	1131814.JAFO01000001_gene4925	5.1e-166	469.0	COG1235@1|root,COG1235@2|Bacteria,1MWI5@1224|Proteobacteria,2TQX4@28211|Alphaproteobacteria,3EZ7K@335928|Xanthobacteraceae	28211|Alphaproteobacteria	S	May be involved in the transport of PQQ or its precursor to the periplasm	pqqB	-	-	ko:K06136	-	-	-	-	ko00000	-	-	-	Lactamase_B_2
Xanthobacter_chromosome_627	1131814.JAFO01000001_gene4926	1.28e-137	392.0	COG0745@1|root,COG0745@2|Bacteria,1R5FR@1224|Proteobacteria,2TTEH@28211|Alphaproteobacteria,3EZIT@335928|Xanthobacteraceae	28211|Alphaproteobacteria	T	Transcriptional regulatory protein, C terminal	prrA	-	-	-	-	-	-	-	-	-	-	-	Response_reg,Trans_reg_C
Xanthobacter_chromosome_628	78245.Xaut_1804	6.26e-210	600.0	COG0642@1|root,COG2205@2|Bacteria,1N5YU@1224|Proteobacteria,2TTXK@28211|Alphaproteobacteria,3EY3M@335928|Xanthobacteraceae	28211|Alphaproteobacteria	T	HAMP (Histidine kinases, Adenylyl cyclases, Methyl binding proteins, Phosphatases) domain	-	-	-	-	-	-	-	-	-	-	-	-	HAMP,HATPase_c,HisKA
Xanthobacter_chromosome_629	1131814.JAFO01000001_gene4928	8.27e-88	260.0	COG1952@1|root,COG1952@2|Bacteria,1RI75@1224|Proteobacteria,2UBTB@28211|Alphaproteobacteria,3EZKG@335928|Xanthobacteraceae	28211|Alphaproteobacteria	U	One of the proteins required for the normal export of preproteins out of the cell cytoplasm. It is a molecular chaperone that binds to a subset of precursor proteins, maintaining them in a translocation-competent state. It also specifically binds to its receptor SecA	secB	GO:0002790,GO:0006457,GO:0006810,GO:0008104,GO:0008150,GO:0009306,GO:0009987,GO:0015031,GO:0015833,GO:0032940,GO:0033036,GO:0042886,GO:0045184,GO:0046903,GO:0051179,GO:0051234,GO:0071702,GO:0071705	-	ko:K03071	ko02024,ko03060,ko03070,map02024,map03060,map03070	M00335	-	-	ko00000,ko00001,ko00002,ko02044,ko03110	3.A.5	-	-	SecB
Xanthobacter_chromosome_630	438753.AZC_4673	3.23e-15	70.1	COG5508@1|root,COG5508@2|Bacteria,1N7D3@1224|Proteobacteria,2UF8M@28211|Alphaproteobacteria,3F03Y@335928|Xanthobacteraceae	28211|Alphaproteobacteria	S	Protein of unknown function (DUF1674)	-	-	-	-	-	-	-	-	-	-	-	-	DUF1674
Xanthobacter_chromosome_631	78245.Xaut_1807	1.27e-150	429.0	COG1968@1|root,COG1968@2|Bacteria,1MX02@1224|Proteobacteria,2TSUR@28211|Alphaproteobacteria,3EXV2@335928|Xanthobacteraceae	28211|Alphaproteobacteria	V	Catalyzes the dephosphorylation of undecaprenyl diphosphate (UPP). Confers resistance to bacitracin	uppP	-	3.6.1.27	ko:K06153	ko00550,map00550	-	R05627	RC00002	ko00000,ko00001,ko01000,ko01011	-	-	-	BacA
Xanthobacter_chromosome_632	1131814.JAFO01000001_gene4931	6.95e-143	405.0	COG0625@1|root,COG0625@2|Bacteria,1MXM4@1224|Proteobacteria,2TTXD@28211|Alphaproteobacteria,3EXWX@335928|Xanthobacteraceae	28211|Alphaproteobacteria	O	Glutathione S-transferase, C-terminal domain	gst	-	2.5.1.18	ko:K00799	ko00480,ko00980,ko00982,ko00983,ko01524,ko05200,ko05204,ko05225,ko05418,map00480,map00980,map00982,map00983,map01524,map05200,map05204,map05225,map05418	-	R03522,R07002,R07003,R07004,R07023,R07024,R07025,R07026,R07069,R07070,R07083,R07084,R07091,R07092,R07093,R07094,R07100,R07113,R07116,R08280,R09409,R11905	RC00004,RC00069,RC00840,RC00948,RC01704,RC01705,RC01706,RC01758,RC01759,RC01765,RC01767,RC01769,RC02243,RC02527,RC02939,RC02940,RC02942,RC02943,RC02944	ko00000,ko00001,ko01000,ko02000	1.A.12.2.2,1.A.12.3.2	-	-	GST_C,GST_C_2,GST_C_3,GST_N_3
Xanthobacter_chromosome_633	438753.AZC_4676	8.67e-183	520.0	COG1600@1|root,COG1600@2|Bacteria,1MV1H@1224|Proteobacteria,2TR5E@28211|Alphaproteobacteria,3EYRC@335928|Xanthobacteraceae	28211|Alphaproteobacteria	C	Catalyzes the conversion of epoxyqueuosine (oQ) to queuosine (Q), which is a hypermodified base found in the wobble positions of tRNA(Asp), tRNA(Asn), tRNA(His) and tRNA(Tyr)	queG	GO:0003674,GO:0003824,GO:0006139,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008616,GO:0009058,GO:0009116,GO:0009119,GO:0009163,GO:0009987,GO:0016491,GO:0018130,GO:0019438,GO:0034404,GO:0034641,GO:0034654,GO:0042455,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0046116,GO:0046483,GO:0052693,GO:0055086,GO:0055114,GO:0071704,GO:1901135,GO:1901137,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901657,GO:1901659	1.17.99.6	ko:K18979	-	-	-	-	ko00000,ko01000,ko03016	-	-	-	DUF1730,Fer4_16,HEAT_2
Xanthobacter_chromosome_634	78245.Xaut_1810	4.39e-283	781.0	COG0621@1|root,COG0621@2|Bacteria,1MURS@1224|Proteobacteria,2TQN6@28211|Alphaproteobacteria,3EYJ0@335928|Xanthobacteraceae	28211|Alphaproteobacteria	J	Catalyzes the methylthiolation of N6- (dimethylallyl)adenosine (i(6)A), leading to the formation of 2- methylthio-N6-(dimethylallyl)adenosine (ms(2)i(6)A) at position 37 in tRNAs that read codons beginning with uridine	miaB	-	2.8.4.3	ko:K06168	-	-	R10645,R10646,R10647	RC00003,RC00980,RC03221,RC03222	ko00000,ko01000,ko03016	-	-	-	Radical_SAM,TRAM,UPF0004
Xanthobacter_chromosome_635	78245.Xaut_1811	1.62e-221	616.0	COG1702@1|root,COG1702@2|Bacteria,1MVDV@1224|Proteobacteria,2TRV3@28211|Alphaproteobacteria,3EYW9@335928|Xanthobacteraceae	28211|Alphaproteobacteria	T	PhoH-like protein	phoH	-	-	ko:K06217	-	-	-	-	ko00000	-	-	-	PhoH
Xanthobacter_chromosome_636	1131814.JAFO01000001_gene4935	7.49e-68	211.0	COG0319@1|root,COG0319@2|Bacteria,1MZ67@1224|Proteobacteria,2UBXV@28211|Alphaproteobacteria,3EZMW@335928|Xanthobacteraceae	28211|Alphaproteobacteria	J	Single strand-specific metallo-endoribonuclease involved in late-stage 70S ribosome quality control and in maturation of the 3' terminus of the 16S rRNA	ybeY	-	-	ko:K07042	-	-	-	-	ko00000,ko03009	-	-	-	UPF0054
Xanthobacter_chromosome_637	78245.Xaut_1813	3.43e-170	482.0	COG1253@1|root,COG1253@2|Bacteria,1MV3P@1224|Proteobacteria,2TVFA@28211|Alphaproteobacteria,3EYMM@335928|Xanthobacteraceae	28211|Alphaproteobacteria	S	Transporter associated domain	tlyC	-	-	ko:K06189	-	-	-	-	ko00000,ko02000	9.A.40.1.2	-	-	CBS,CorC_HlyC
Xanthobacter_chromosome_638	1131814.JAFO01000001_gene4937	5.08e-253	710.0	COG0815@1|root,COG0815@2|Bacteria,1MUBU@1224|Proteobacteria,2TQRC@28211|Alphaproteobacteria,3EYT7@335928|Xanthobacteraceae	28211|Alphaproteobacteria	M	Transfers the fatty acyl group on membrane lipoproteins	lnt	-	-	ko:K03820	-	-	-	-	ko00000,ko01000	-	GT2	-	CN_hydrolase
Xanthobacter_chromosome_639	78245.Xaut_1815	6.37e-80	238.0	COG1396@1|root,COG1396@2|Bacteria,1RDBW@1224|Proteobacteria,2U7CY@28211|Alphaproteobacteria,3EZDW@335928|Xanthobacteraceae	28211|Alphaproteobacteria	K	Helix-turn-helix XRE-family like proteins	MA20_23890	-	-	-	-	-	-	-	-	-	-	-	HTH_3
Xanthobacter_chromosome_640	78245.Xaut_1816	2.04e-258	711.0	COG0192@1|root,COG0192@2|Bacteria,1MUFQ@1224|Proteobacteria,2TR4P@28211|Alphaproteobacteria,3EYF2@335928|Xanthobacteraceae	28211|Alphaproteobacteria	H	S-adenosylmethionine synthetase, C-terminal domain	metK	GO:0003674,GO:0003824,GO:0004478,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0016740,GO:0016765,GO:0044424,GO:0044444,GO:0044464	2.5.1.6	ko:K00789	ko00270,ko01100,ko01110,ko01230,map00270,map01100,map01110,map01230	M00034,M00035,M00368,M00609	R00177,R04771	RC00021,RC01211	ko00000,ko00001,ko00002,ko01000	-	-	-	S-AdoMet_synt_C,S-AdoMet_synt_M,S-AdoMet_synt_N
Xanthobacter_chromosome_641	78245.Xaut_1817	4.4e-114	332.0	COG0220@1|root,COG0220@2|Bacteria,1MUWJ@1224|Proteobacteria,2TUU9@28211|Alphaproteobacteria,3EZB0@335928|Xanthobacteraceae	28211|Alphaproteobacteria	J	Catalyzes the formation of N(7)-methylguanine at position 46 (m7G46) in tRNA	trmB	GO:0001510,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0008168,GO:0008173,GO:0008175,GO:0008176,GO:0008757,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016423,GO:0016740,GO:0016741,GO:0030488,GO:0032259,GO:0032991,GO:0034470,GO:0034641,GO:0034660,GO:0034708,GO:0036265,GO:0043170,GO:0043412,GO:0043414,GO:0043527,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0071704,GO:0090304,GO:0106004,GO:0140098,GO:0140101,GO:1901360,GO:1902494,GO:1990234	2.1.1.33	ko:K03439	-	-	-	-	ko00000,ko01000,ko03016	-	-	-	Methyltransf_4
Xanthobacter_chromosome_642	78245.Xaut_1818	2.34e-137	396.0	COG0451@1|root,COG0451@2|Bacteria,1MWVJ@1224|Proteobacteria,2TRDY@28211|Alphaproteobacteria,3EZ9Z@335928|Xanthobacteraceae	28211|Alphaproteobacteria	GM	COG0451 Nucleoside-diphosphate-sugar epimerases	-	-	-	-	-	-	-	-	-	-	-	-	Epimerase
Xanthobacter_chromosome_643	1131814.JAFO01000001_gene4942	1.58e-133	387.0	COG0204@1|root,COG0204@2|Bacteria,1N2DG@1224|Proteobacteria,2TT8Q@28211|Alphaproteobacteria,3EY47@335928|Xanthobacteraceae	28211|Alphaproteobacteria	I	Phosphate acyltransferases	plsC	-	2.3.1.51	ko:K00655	ko00561,ko00564,ko01100,ko01110,map00561,map00564,map01100,map01110	M00089	R02241,R09381	RC00004,RC00037,RC00039	ko00000,ko00001,ko00002,ko01000,ko01004	-	-	-	Acyltransferase
Xanthobacter_chromosome_644	1131814.JAFO01000001_gene4943	9.54e-80	238.0	COG0735@1|root,COG0735@2|Bacteria,1RDWJ@1224|Proteobacteria,2U6ZS@28211|Alphaproteobacteria,3EZFW@335928|Xanthobacteraceae	28211|Alphaproteobacteria	K	Ferric uptake regulator family	fur	-	-	ko:K03711	-	-	-	-	ko00000,ko03000	-	-	-	FUR
Xanthobacter_chromosome_645	1131814.JAFO01000001_gene4944	3.43e-65	203.0	COG0454@1|root,COG0456@2|Bacteria,1RIE6@1224|Proteobacteria,2UF5C@28211|Alphaproteobacteria,3EZW7@335928|Xanthobacteraceae	28211|Alphaproteobacteria	K	FR47-like protein	rimI	-	2.3.1.128	ko:K03789	-	-	-	-	ko00000,ko01000,ko03009	-	-	-	Acetyltransf_1,Acetyltransf_10
Xanthobacter_chromosome_646	1131814.JAFO01000001_gene4945	1.77e-126	364.0	COG1214@1|root,COG1214@2|Bacteria,1MXPH@1224|Proteobacteria,2TTM2@28211|Alphaproteobacteria,3EZ6T@335928|Xanthobacteraceae	28211|Alphaproteobacteria	O	Glycoprotease family	yeaZ	-	2.3.1.234	ko:K01409,ko:K14742	-	-	R10648	RC00070,RC00416	ko00000,ko01000,ko03016	-	-	-	Peptidase_M22
Xanthobacter_chromosome_647	1038858.AXBA01000044_gene1353	1.44e-107	312.0	COG0694@1|root,COG0694@2|Bacteria,1MVQ1@1224|Proteobacteria,2TUD1@28211|Alphaproteobacteria,3EY4C@335928|Xanthobacteraceae	28211|Alphaproteobacteria	O	Scaffold protein Nfu/NifU N terminal	nifU	-	-	-	-	-	-	-	-	-	-	-	Nfu_N,NifU
Xanthobacter_chromosome_648	78245.Xaut_1824	9.79e-295	805.0	COG1158@1|root,COG1158@2|Bacteria,1MUCF@1224|Proteobacteria,2TRB4@28211|Alphaproteobacteria,3EYP5@335928|Xanthobacteraceae	28211|Alphaproteobacteria	K	Facilitates transcription termination by a mechanism that involves Rho binding to the nascent RNA, activation of Rho's RNA-dependent ATPase activity, and release of the mRNA from the DNA template	rho	-	-	ko:K03628	ko03018,map03018	-	-	-	ko00000,ko00001,ko03019,ko03021	-	-	-	ATP-synt_ab,Rho_N,Rho_RNA_bind
Xanthobacter_chromosome_649	1131814.JAFO01000001_gene4948	3.18e-71	217.0	COG1981@1|root,COG1981@2|Bacteria,1RHGS@1224|Proteobacteria,2U987@28211|Alphaproteobacteria,3EZMV@335928|Xanthobacteraceae	28211|Alphaproteobacteria	S	Uncharacterised protein family (UPF0093)	MA20_24805	-	-	ko:K08973	-	-	-	-	ko00000	-	-	-	UPF0093
