Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	397285	398274	+	AAFOLC_01905		tripartite tricarboxylate transporter substrate binding protein	SO:0001217, UniRef:UniRef50_J3CAG2, UniRef:UniRef90_UPI001AD95D0F
contig_1	cds	398280	398687	+	AAFOLC_01910		OB-fold domain-containing protein	SO:0001217, UniRef:UniRef50_E3HJ80, UniRef:UniRef90_UPI001ADBC1CB
contig_1	cds	398684	399847	+	AAFOLC_01915		thiolase	SO:0001217, UniRef:UniRef50_Q1LD06, UniRef:UniRef90_UPI001ADD457E
contig_1	cds	399894	400217	+	AAFOLC_01920		3-oxoacid CoA-transferase subunit A	SO:0001217, UniRef:UniRef50_A0A519IKZ8
contig_1	cds	400281	400565	+	AAFOLC_01925		3-oxoadipate CoA-transferase subunit A	SO:0001217, UniRef:UniRef50_A0A083ZYD3
contig_1	cds	400578	401219	+	AAFOLC_01930		3-oxoacid CoA-transferase subunit B	SO:0001217, UniRef:UniRef50_P0A101, UniRef:UniRef90_UPI001ADC5D54
contig_1	cds	401239	402435	+	AAFOLC_01935		acyl-CoA dehydrogenase family protein	SO:0001217, UniRef:UniRef50_A0A4V2VRZ0, UniRef:UniRef90_UPI001AD9CF8A
contig_1	cds	402446	403558	+	AAFOLC_01940		acyl-CoA dehydrogenase family protein	SO:0001217, UniRef:UniRef50_UPI001ADAB61C, UniRef:UniRef90_UPI001ADAB61C
contig_1	cds	403595	405706	+	AAFOLC_01945		3-hydroxyacyl-CoA dehydrogenase NAD-binding domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0C4Y934, UniRef:UniRef90_UPI001FFD9679
contig_1	cds	405719	406738	+	AAFOLC_01950	lysR	LysR substrate-binding domain-containing protein	SO:0001217, UniRef:UniRef50_A0A4D7B6E7, UniRef:UniRef90_UPI001ADA4CA9
contig_1	cds	406999	407934	-	AAFOLC_01955		FAD:protein FMN transferase	SO:0001217, UniRef:UniRef50_A0A0P6VNF8
contig_1	cds	407987	410179	-	AAFOLC_01960		Nitric oxide synthase	SO:0001217, UniRef:UniRef50_A0A0U2W273, UniRef:UniRef90_A0A259L7A3
contig_1	cds	410197	410667	-	AAFOLC_01965		Tat pathway signal protein	SO:0001217, UniRef:UniRef50_A0A1N7M902, UniRef:UniRef90_A7IQ68
contig_1	cds	410708	411055	-	AAFOLC_01970		Secreted protein	SO:0001217, UniRef:UniRef50_A7IQ67
contig_1	cds	411147	412487	-	AAFOLC_01975	baeS	Signal transduction histidine kinase	COG:COG0642, COG:T, SO:0001217, UniRef:UniRef50_A0A2S4M6K2, UniRef:UniRef90_A7IQ66
contig_1	cds	412484	413155	-	AAFOLC_01980	qseB	Transcriptional regulatory protein QseB	SO:0001217, UniRef:UniRef50_A0A5E7TH23
contig_1	cds	413289	413570	+	AAFOLC_01985		PepSY domain-containing protein	SO:0001217, UniRef:UniRef50_A0A259L5Q6, UniRef:UniRef90_A0A259L5Q6
contig_1	cds	414470	415603	+	AAFOLC_01990		hypothetical protein	PFAM:PF00933.24
contig_1	cds	415652	416203	+	AAFOLC_01995		DUF218 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A380WDM8
contig_1	cds	416200	419271	+	AAFOLC_02000		AMP-binding protein	SO:0001217, UniRef:UniRef50_UPI0002995B48
contig_1	cds	419450	420283	+	AAFOLC_02005		Type IV secretion system protein virB10	SO:0001217, UniRef:UniRef50_A0A011TCR6
contig_1	cds	420391	422073	-	AAFOLC_02010		Dihydrolipoyl dehydrogenase	SO:0001217, UniRef:UniRef50_A0A369U3R8
contig_1	cds	422085	423407	-	AAFOLC_02015		Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex	SO:0001217, UniRef:UniRef50_A0A132BUB2
contig_1	cds	423421	426087	-	AAFOLC_02020	mdeB	alpha-ketoglutarate dehydrogenase	EC:1.2.4.1, KEGG:K00163, SO:0001217, UniRef:UniRef50_A0A2N6T2L2, UniRef:UniRef90_UPI001F176DE3
contig_1	cds	426223	426693	+	AAFOLC_02025		Lrp/AsnC ligand binding domain-containing protein	SO:0001217, UniRef:UniRef50_P42179, UniRef:UniRef90_UPI001F18115F
contig_1	cds	426865	427746	-	AAFOLC_02030		hypothetical protein	
contig_1	cds	428101	429108	-	AAFOLC_02035		Hydrolase-4 domain-containing protein	SO:0001217, UniRef:UniRef50_W6VIY0
contig_1	cds	429275	429769	+	AAFOLC_02040		Cupin 2 conserved barrel domain protein	SO:0001217, UniRef:UniRef50_E6VN43
contig_1	cds	429968	430576	+	AAFOLC_02045		2-hydroxychromene-2-carboxylate isomerase	SO:0001217, UniRef:UniRef50_Q3J568, UniRef:UniRef90_UPI001AE4377E
contig_1	cds	430637	431347	-	AAFOLC_02050		MOSC domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0B2BZI1
contig_1	cds	431344	432048	-	AAFOLC_02055		Glutamine amidotransferase class-I	SO:0001217, UniRef:UniRef50_Q39L12
contig_1	cds	432149	433597	+	AAFOLC_02060		8-amino-7-oxononanoate synthase	SO:0001217, UniRef:UniRef50_A0A1E4DJR0
contig_1	cds	433652	433978	-	AAFOLC_02065		hypothetical protein	PFAM:PF01638.20
contig_1	cds	434363	434815	-	AAFOLC_02070	mntR	Transcriptional regulator MntR	SO:0001217, UniRef:UniRef50_A0A6I4G0E6
contig_1	cds	435125	436078	+	AAFOLC_02075	yfeA	Periplasmic chelated iron-binding protein YfeA	SO:0001217, UniRef:UniRef50_Q56952
contig_1	cds	436075	436971	+	AAFOLC_02080	znuC	High-affinity zinc uptake system ATP-binding protein ZnuC	SO:0001217, UniRef:UniRef50_A0A1Y5T954
contig_1	cds	437174	438046	+	AAFOLC_02085	yfeC	Chelated iron transport system membrane protein YfeC	SO:0001217, UniRef:UniRef50_Q56954
contig_1	cds	438043	438900	+	AAFOLC_02090	yfeD	Chelated iron transport system membrane protein YfeD	SO:0001217, UniRef:UniRef50_Q56955
contig_1	cds	438916	439587	-	AAFOLC_02095		ABC transporter domain-containing protein	SO:0001217, UniRef:UniRef50_K8PLW6
contig_1	cds	439587	440342	-	AAFOLC_02100		ABC transporter ATP-binding protein	SO:0001217, UniRef:UniRef50_Q89NL1
contig_1	cds	440351	442195	-	AAFOLC_02105		ABC transporter permease	SO:0001217, UniRef:UniRef50_K8PGK9
contig_1	cds	442310	442480	-	AAFOLC_02110	rseC	SoxR reducing system protein RseC	SO:0001217, UniRef:UniRef50_A0A1M7ZEX0
contig_1	cds	442571	443815	-	AAFOLC_02115		phenylacetate--CoA ligase family protein	SO:0001217, UniRef:UniRef50_A0A0M7AF11, UniRef:UniRef90_UPI001F3C7540
contig_1	cds	444016	444855	-	AAFOLC_02120	livF	ABC-type branched-chain amino acid transport system, ATPase component LivF	COG:COG0410, COG:E, SO:0001217, UniRef:UniRef50_K8P4S2, UniRef:UniRef90_A7IGG7
contig_1	cds	445000	446286	-	AAFOLC_02125		Branched-chain amino acid transport system substrate-binding protein	SO:0001217, UniRef:UniRef50_D3NZF6
contig_1	cds	446357	447427	-	AAFOLC_02130		Branched-chain amino acid ABC transporter permease	SO:0001217, UniRef:UniRef50_A0A2Z2P3S6
contig_1	cds	447432	448325	-	AAFOLC_02135	livH	Branched-chain amino acid ABC-type transport system, permease component	COG:COG0559, COG:E, SO:0001217, UniRef:UniRef50_A0A2R4M9X2, UniRef:UniRef90_A7IGG4
contig_1	cds	448325	450286	-	AAFOLC_02140		Putative long-chain-fatty-acid-CoA ligase	SO:0001217, UniRef:UniRef50_V6EZF4
contig_1	cds	450297	451148	-	AAFOLC_02145		ABC transporter ATP-binding protein	SO:0001217, UniRef:UniRef50_Q2RNJ1, UniRef:UniRef90_A0A3L7A283
contig_1	cds	451725	452366	+	AAFOLC_02150		Transcriptional regulator	SO:0001217, UniRef:UniRef50_A8HZJ5
contig_1	ncRNA	452511	452609	+	AAFOLC_02155	Bacteria_small_SRP	Bacterial small signal recognition particle RNA	RFAM:RF00169, SO:0000655
contig_1	cds	452704	452928	+	AAFOLC_02160		hypothetical protein	
contig_1	cds	452961	453746	+	AAFOLC_02165	ethD	EthD domain-containing protein	SO:0001217, UniRef:UniRef50_A0A537XVA0
contig_1	cds	453810	455672	+	AAFOLC_02170		DNA polymerase III subunit gamma/tau	SO:0001217, UniRef:UniRef50_A0A0M6ZEP2
contig_1	cds	455691	456011	+	AAFOLC_02175		Nucleoid-associated protein Mmar10_0436	SO:0001217, UniRef:UniRef50_Q0ASK8
contig_1	cds	456373	457194	-	AAFOLC_02180	iclR	IclR family transcriptional regulator	SO:0001217, UniRef:UniRef50_A0A4R5EFY1
contig_1	cds	457311	458459	+	AAFOLC_02185		(R)-benzylsuccinyl-CoA dehydrogenase	SO:0001217, UniRef:UniRef50_A0A448CBT9
contig_1	cds	458483	459544	+	AAFOLC_02190		Acyl-CoA dehydrogenase	SO:0001217, UniRef:UniRef50_A0A4R5EGD4
contig_1	cds	459965	462142	-	AAFOLC_02195		DNA-directed DNA polymerase	SO:0001217, UniRef:UniRef50_A7II25
contig_1	cds	462183	462548	-	AAFOLC_02200	ompR	DNA-binding response OmpR family regulator	SO:0001217, UniRef:UniRef50_A0A848K1G5
contig_1	cds	462545	465289	-	AAFOLC_02205		histidine kinase	SO:0001217, UniRef:UniRef50_A0A1F4HHA0
contig_1	cds	465491	465793	-	AAFOLC_02210		hypothetical protein	
contig_1	cds	465790	467277	-	AAFOLC_02215		CBS domain-containing protein	SO:0001217, UniRef:UniRef50_I0HXD3
contig_1	cds	467291	469018	-	AAFOLC_02220	actP	Cation/acetate symporter ActP	SO:0001217, UniRef:UniRef50_Q8X5T7
contig_1	cds	469015	469323	-	AAFOLC_02225		DUF485 domain-containing protein	SO:0001217, UniRef:UniRef50_A7II31
contig_1	cds	469798	471420	-	AAFOLC_02230		Putative ABC transporter, ATP-binding protein with duplicated ATPase domains	SO:0001217, UniRef:UniRef50_A4YTG1
contig_1	cds	471697	472638	-	AAFOLC_02235	lysR	LysR family transcriptional regulator	SO:0001217, UniRef:UniRef50_A0A838XYK0
contig_1	cds	472777	473739	+	AAFOLC_02240		TRAP transporter substrate-binding protein	SO:0001217, UniRef:UniRef50_A0A0X8HDW9
contig_1	cds	473750	475624	+	AAFOLC_02245		Transporter	SO:0001217, UniRef:UniRef50_B7RS90
contig_1	cds	475621	476955	+	AAFOLC_02250		ABC transporter substrate-binding protein	SO:0001217, UniRef:UniRef50_A0A1H5H2Y5
contig_1	cds	476956	477267	+	AAFOLC_02255		Beta-lactamase	SO:0001217, UniRef:UniRef50_A0A1C2E2M1
contig_1	cds	477405	478754	+	AAFOLC_02260		Gamma-glutamylputrescine oxidoreductase	SO:0001217, UniRef:UniRef50_A0A679JT91
contig_1	cds	479104	480069	+	AAFOLC_02265		Transcriptional regulator, Fis family	SO:0001217, UniRef:UniRef50_D9QI59
contig_1	cds	480216	481733	+	AAFOLC_02270		Fluoroacetaldehyde dehydrogenase	SO:0001217, UniRef:UniRef50_F8JX40
contig_1	cds	481854	482252	+	AAFOLC_02275		DUF779 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A069I5A2
contig_1	cds	482265	483869	-	AAFOLC_02280		Putative acetyl-coenzyme A synthetase	SO:0001217, UniRef:UniRef50_K0Q0K5
contig_1	cds	483976	484494	-	AAFOLC_02285		SCP domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0N0KGV5
contig_1	cds	484565	487246	-	AAFOLC_02290		Mechanosensitive ion channel family protein	SO:0001217, UniRef:UniRef50_A0A3L7AFV0
contig_1	cds	487520	488701	+	AAFOLC_02295		Succinyl-diaminopimelate desuccinylase	SO:0001217, UniRef:UniRef50_Q89BP2
contig_1	cds	488739	489500	+	AAFOLC_02300		AB hydrolase-1 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A5S9Q2T7
contig_1	cds	489508	490071	-	AAFOLC_02305		putative queuosine precursor transporter	SO:0001217, UniRef:UniRef50_A0A235EP74
contig_1	cds	490113	490406	-	AAFOLC_02310		50S ribosomal protein L28	SO:0001217, UniRef:UniRef50_A4YKZ2
contig_1	cds	490674	491594	-	AAFOLC_02315	lysR	LysR family transcriptional regulator	SO:0001217, UniRef:UniRef50_W3RJJ4
contig_1	cds	491849	493345	+	AAFOLC_02320	adhE	Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase	COG:COG1012, COG:I, SO:0001217, UniRef:UniRef50_Q9I702, UniRef:UniRef90_A0A848JXJ3
contig_1	cds	493457	494599	+	AAFOLC_02325		Acyl-CoA dehydrogenase	SO:0001217, UniRef:UniRef50_A0A2X4UA79, UniRef:UniRef90_A0A848JS15
contig_1	cds	494808	495704	+	AAFOLC_02330	mmsB	3-hydroxyisobutyrate dehydrogenase	SO:0001217, UniRef:UniRef50_A0A2J8ID24, UniRef:UniRef90_A0A3L7AFH1
contig_1	cds	495842	497272	+	AAFOLC_02335	gntR	Putative transcriptional regulator, GntR family	SO:0001217, UniRef:UniRef50_A7ICC9
contig_1	cds	497257	497670	-	AAFOLC_02340		DUF983 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A653TA65
contig_1	cds	497884	498312	-	AAFOLC_02345		DUF805 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1U7JCL4
contig_1	tRNA	498464	498540	-	AAFOLC_02350	trnM	tRNA-Met(cat)	SO:0000266
contig_1	cds	498666	499373	-	AAFOLC_02355		tRNA (Cmo5U34)-methyltransferase	SO:0001217, UniRef:UniRef50_A0A157S500
contig_1	cds	499452	500240	-	AAFOLC_02360		DUF4336 domain-containing protein	SO:0001217, UniRef:UniRef50_Q1QS88
contig_1	cds	500300	500944	-	AAFOLC_02365		Phosphatidylethanolamine/phosphatidyl-N-methylethanolamine N-methyltransferase	SO:0001217, UniRef:UniRef50_A0A0P8A2L4
contig_1	cds	500998	502170	-	AAFOLC_02370	mnmA	tRNA-specific 2-thiouridylase MnmA	SO:0001217, UniRef:UniRef50_A7ICB9
contig_1	cds	502643	503149	+	AAFOLC_02375		DUF721 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1G4RXQ1
contig_1	cds	503300	503965	+	AAFOLC_02380		Thioredoxin domain-containing protein	SO:0001217, UniRef:UniRef50_A0A212LDL9
contig_1	cds	504124	504531	-	AAFOLC_02385		Tautomerase domain-containing protein	SO:0001217, UniRef:UniRef50_F7QPQ4
contig_1	cds	504628	505503	+	AAFOLC_02390		HTH lysR-type domain-containing protein	SO:0001217, UniRef:UniRef50_A0A258T209
contig_1	cds	505575	506075	+	AAFOLC_02395		Transmembrane protein	SO:0001217, UniRef:UniRef50_D7A596
contig_1	cds	506096	507505	+	AAFOLC_02400	ubiB	Protein kinase UbiB	SO:0001217, UniRef:UniRef50_A0A7H1NRS2
contig_1	cds	507555	508496	+	AAFOLC_02405	ykoU	Putative ATP-dependent DNA ligase YkoU	SO:0001217, UniRef:UniRef50_A0A347WEF8
contig_1	cds	508524	509198	-	AAFOLC_02410		DSBA domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3L7AIU1
contig_1	cds	509218	510054	-	AAFOLC_02415	fabI	enoyl-ACP reductase FabI	COG:COG0623, COG:I, SO:0001217, UniRef:UniRef50_P58381, UniRef:UniRef90_A0A6C1KBN9
contig_1	cds	510164	511387	-	AAFOLC_02420	fabB	beta-ketoacyl-ACP synthase I	COG:COG0304, COG:IQ, SO:0001217, UniRef:UniRef50_A0A5C8W444, UniRef:UniRef90_A0A6C1KDU2
contig_1	cds	511444	511977	-	AAFOLC_02425	fabA	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA	EC:4.2.1.59, EC:5.3.3.14, KEGG:K01716, SO:0001217, UniRef:UniRef50_Q9PFT5, UniRef:UniRef90_A0A3L7AKB8
contig_1	cds	512249	512683	+	AAFOLC_02430		Large-conductance mechanosensitive channel	SO:0001217, UniRef:UniRef50_A6T365
contig_1	cds	512747	513817	-	AAFOLC_02435		Dihydroorotate dehydrogenase (quinone)	SO:0001217, UniRef:UniRef50_A8HZX8
contig_1	cds	513826	514524	-	AAFOLC_02440		Orotate phosphoribosyltransferase	SO:0001217, UniRef:UniRef50_C6BW21
contig_1	cds	514748	516514	-	AAFOLC_02445	copC	CopC domain protein	SO:0001217, UniRef:UniRef50_A0A1B3NR32
contig_1	ncRNA-region	516890	517004	+			Glycine riboswitch	RFAM:RF00504, SO:0000035
contig_1	cds	517173	518321	+	AAFOLC_02450		aminomethyltransferase	SO:0001217, UniRef:UniRef50_A0A537KXK4
contig_1	cds	518324	518701	+	AAFOLC_02455		Glycine cleavage system H protein	SO:0001217, UniRef:UniRef50_A0A7T7CCP9
contig_1	cds	518709	519185	+	AAFOLC_02460		Organic hydroperoxide reductase OsmC/OhrA	SO:0001217, UniRef:UniRef50_A0A848JXX6
contig_1	cds	519196	520539	+	AAFOLC_02465		putative glycine dehydrogenase (decarboxylating) subunit 1	SO:0001217, UniRef:UniRef50_Q9A353
contig_1	cds	520586	522154	+	AAFOLC_02470		putative glycine dehydrogenase (decarboxylating) subunit 2	SO:0001217, UniRef:UniRef50_Q9A354
contig_1	cds	522399	522614	+	AAFOLC_02475		UPF0434 protein BARBAKC583_1098	SO:0001217, UniRef:UniRef50_A1UTQ7
contig_1	cds	522748	523017	-	AAFOLC_02480		CRISPR-associated endoribonuclease Cas2	SO:0001217, UniRef:UniRef50_A0A059E9L3
contig_1	cds	523163	525115	-	AAFOLC_02485		Gluconate 2-dehydrogenase (Acceptor)	SO:0001217, UniRef:UniRef50_A7IG63
contig_1	cds	525308	527491	+	AAFOLC_02490		DNA ligase	SO:0001217, UniRef:UniRef50_Q0C577
contig_1	cds	527581	528210	+	AAFOLC_02495		hypothetical protein	
contig_1	cds	528431	529663	+	AAFOLC_02500		hypothetical protein	
contig_1	cds	529873	530982	+	AAFOLC_02505	hyaA	Ni,Fe-hydrogenase I small subunit	COG:C, COG:COG1740, SO:0001217, UniRef:UniRef50_P31892, UniRef:UniRef90_A7IHC4
contig_1	cds	530979	532796	+	AAFOLC_02510	hyaB	Ni,Fe-hydrogenase I large subunit	COG:C, COG:COG0374, SO:0001217, UniRef:UniRef50_P0ACD8, UniRef:UniRef90_UPI001F3D6244
contig_1	cds	532810	533580	+	AAFOLC_02515		putative Ni/Fe-hydrogenase B-type cytochrome subunit	SO:0001217, UniRef:UniRef50_P31898
contig_1	cds	534060	534674	+	AAFOLC_02520	hupD	Hydrogenase expression/formation protein HupD	SO:0001217, UniRef:UniRef50_Q03004
contig_1	cds	534684	535016	+	AAFOLC_02525	hupF	Hydrogenase expression/formation protein HupF	SO:0001217, UniRef:UniRef50_G7ZE60
contig_1	cds	535016	535456	+	AAFOLC_02530		Hydrogenase expression/formation protein	SO:0001217, UniRef:UniRef50_A0A259KV60
contig_1	cds	535467	536372	+	AAFOLC_02535		Hydrogenase expression/formation protein	SO:0001217, UniRef:UniRef50_V4PIQ0
contig_1	cds	536383	537288	+	AAFOLC_02540	hybE	[NiFe]-hydrogenase assembly, chaperone, HybE	SO:0001217, UniRef:UniRef50_A0A3L7AGZ7
contig_1	cds	537288	538391	+	AAFOLC_02545	hupK	Hydrogenase expression/formation protein HupK	SO:0001217, UniRef:UniRef50_A0A3L7AEZ1
contig_1	cds	538384	538725	+	AAFOLC_02550	hypA	Hydrogenase maturation factor HypA	SO:0001217, UniRef:UniRef50_A0A512LCA8
contig_1	cds	538725	539768	+	AAFOLC_02555	hypB	Hydrogenase maturation factor HypB	SO:0001217, UniRef:UniRef50_P26410
contig_1	cds	539765	541252	+	AAFOLC_02560	hoxA	Hydrogenase transcriptional regulatory protein HoxA	SO:0001217, UniRef:UniRef50_P31908
contig_1	cds	541262	541366	+	AAFOLC_02565		hypothetical protein	
contig_1	cds	541379	541678	+	AAFOLC_02570		HypC/HybG/HupF family hydrogenase formation chaperone	SO:0001217, UniRef:UniRef50_A0A6S7CHD7
contig_1	cds	541689	542813	+	AAFOLC_02575	hypD	Hydrogenase expression/formation protein HypD	SO:0001217, UniRef:UniRef50_D5PJA4
contig_1	cds	542810	543868	+	AAFOLC_02580	hypE	Carbamoyl dehydratase HypE	SO:0001217, UniRef:UniRef50_P26412
contig_1	cds	544298	545086	+	AAFOLC_02585		DUF2092 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A7C9VH84
contig_1	cds	545092	545409	+	AAFOLC_02590		Bacterial SH3 domain protein	SO:0001217, UniRef:UniRef50_A0A238L1A8
contig_1	cds	545468	546250	-	AAFOLC_02595	fabG	3-oxoacyl-ACP reductase FabG	SO:0001217, UniRef:UniRef50_I9KP36
contig_1	cds	546482	547642	+	AAFOLC_02600		ABC transporter, substrate binding protein (Spermidine/putrescine)	SO:0001217, UniRef:UniRef50_F2IWV9
contig_1	cds	547786	548880	+	AAFOLC_02605	potA	Putrescine transport ATP-binding protein PotA	SO:0001217, UniRef:UniRef50_A0A0H5BAI4
contig_1	cds	548887	549807	+	AAFOLC_02610	potB	Spermidine Putrescine ABC transporter permease component PotB	SO:0001217, UniRef:UniRef50_A0A0H5BFX9
contig_1	cds	549807	550607	+	AAFOLC_02615		Spermidine/putrescine transport system permease protein	SO:0001217, UniRef:UniRef50_A0A286GA83
contig_1	cds	550604	551419	+	AAFOLC_02620	deoR	DeoR family transcriptional regulator	SO:0001217, UniRef:UniRef50_A0A151FE65
contig_1	cds	551421	552314	+	AAFOLC_02625		Proline iminopeptidase	SO:0001217, UniRef:UniRef50_A0A5E7R1C8
contig_1	cds	552325	553026	+	AAFOLC_02630	yecD	Isochorismatase family protein YecD	SO:0001217, UniRef:UniRef50_A0A1E3GYT2
contig_1	cds	553039	554025	+	AAFOLC_02635		Stress response kinase A	SO:0001217, UniRef:UniRef50_A0A5S9NQS3
contig_1	cds	554053	555381	+	AAFOLC_02640		4-aminobutyrate aminotransferase protein	SO:0001217, UniRef:UniRef50_D8ITP7
contig_1	cds	555729	556235	-	AAFOLC_02645		acetone carboxylase subunit gamma	EC:6.4.1.6, KEGG:K10856, SO:0001217, UniRef:UniRef50_Q8RM02, UniRef:UniRef90_UPI001F1E59F6
contig_1	cds	556436	558766	-	AAFOLC_02650	hyuB	N-methylhydantoinase B/oxoprolinase/acetone carboxylase, alpha subunit	COG:COG0146, COG:EQ, EC:6.4.1.6, KEGG:K10854, SO:0001217, UniRef:UniRef50_Q8RM03, UniRef:UniRef90_A0A848JXE5
contig_1	cds	558950	561103	-	AAFOLC_02655	acxA	Acetone carboxylase beta subunit	COG:COG0145, COG:EQ, EC:6.4.1.6, GO:0005524, GO:0016787, GO:0018710, GO:0043443, KEGG:K10855, SO:0001217, UniRef:UniRef50_Q8RM04, UniRef:UniRef90_Q8RM04
contig_1	cds	561543	563510	+	AAFOLC_02660		GAF modulated sigma54 specific transcriptional regulator, Fis family	SO:0001217, UniRef:UniRef50_Q8RM05
contig_1	cds	563732	564208	-	AAFOLC_02665		Rubrerythrin domain-containing protein	SO:0001217, UniRef:UniRef50_Q6N8H6
contig_1	cds	564287	564652	-	AAFOLC_02670		Protein FeSII	SO:0001217, UniRef:UniRef50_Q44501
contig_1	cds	564991	567171	-	AAFOLC_02675	pnp	polyribonucleotide nucleotidyltransferase	COG:COG1185, COG:J, EC:2.7.7.8, GO:0000287, GO:0003723, GO:0004654, GO:0005737, GO:0006396, GO:0006402, KEGG:K00962, SO:0001217, UniRef:UniRef50_A8IGA3, UniRef:UniRef90_A8IGA3
contig_1	cds	567416	567685	-	AAFOLC_02680	rpsO	30S ribosomal protein S15	SO:0001217, UniRef:UniRef50_Q6NCN7, UniRef:UniRef90_A0A3L7A270
contig_1	cds	567920	568774	-	AAFOLC_02685		Exodeoxyribonuclease III	SO:0001217, UniRef:UniRef50_B6JAH8
contig_1	cds	568834	569775	-	AAFOLC_02690		hypothetical protein	
contig_1	cds	569772	572360	-	AAFOLC_02695	ftsK	DNA translocase FtsK	SO:0001217, UniRef:UniRef50_S9QCZ4
contig_1	cds	572377	573591	-	AAFOLC_02700		Aminotransferase	SO:0001217, UniRef:UniRef50_A0A447CSJ0
contig_1	cds	573729	574679	-	AAFOLC_02705		Riboflavin biosynthesis protein	SO:0001217, UniRef:UniRef50_A7IGE5
contig_1	cds	574912	575811	-	AAFOLC_02710		TIGR01459 family HAD-type hydrolase	SO:0001217, UniRef:UniRef50_A0A257Z1B2
contig_1	cds	576007	577539	-	AAFOLC_02715		UDP-N-acetylmuramoylalanine--D-glutamate ligase	SO:0001217, UniRef:UniRef50_Q52953
contig_1	cds	577896	578111	+	AAFOLC_02720		DUF2892 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A255XMJ6
contig_1	cds	578164	579249	-	AAFOLC_02725		Phospho-N-acetylmuramoyl-pentapeptide-transferase	SO:0001217, UniRef:UniRef50_B5YFT8
contig_1	cds	579263	580708	-	AAFOLC_02730		UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase	SO:0001217, UniRef:UniRef50_A0A537P0L8
contig_1	cds	580708	582174	-	AAFOLC_02735		UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	SO:0001217, UniRef:UniRef50_Q89FU2
contig_1	cds	582258	584153	-	AAFOLC_02740	ftsI	Cell division protein FtsI	SO:0001217, UniRef:UniRef50_F7QR58
contig_1	cds	584163	584822	-	AAFOLC_02745		hypothetical protein	
contig_1	cds	584828	585865	-	AAFOLC_02750		Ribosomal RNA small subunit methyltransferase H	SO:0001217, UniRef:UniRef50_Q2IYL6
contig_1	cds	585862	586335	-	AAFOLC_02755	mraZ	Transcriptional regulator MraZ	SO:0001217, UniRef:UniRef50_B2IGF1
contig_1	cds	586505	587320	+	AAFOLC_02760	dnaJ	DnaJ like chaperone protein	SO:0001217, UniRef:UniRef50_A0A1X7Q9B5
contig_1	cds	587317	588099	+	AAFOLC_02765	amiD	N-acetylmuramoyl-L-alanine amidase AmiD	SO:0001217, UniRef:UniRef50_A0A0S3PTM5
contig_1	cds	588346	589359	-	AAFOLC_02770		KpsF/GutQ family protein	SO:0001217, UniRef:UniRef50_D6ZZ37
contig_1	cds	589442	590140	-	AAFOLC_02775		Phosphonate metabolism protein	SO:0001217, UniRef:UniRef50_A7IG56
contig_1	cds	590319	590960	-	AAFOLC_02780		Lactamase-B domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2E9Y1R7
contig_1	cds	591017	591847	-	AAFOLC_02785		Abhydrolase-3 domain-containing protein	SO:0001217, UniRef:UniRef50_A8IQ36
contig_1	cds	591880	593235	-	AAFOLC_02790		Egg lysin	SO:0001217, UniRef:UniRef50_A7IG58
contig_1	cds	593372	595915	-	AAFOLC_02795	macB	Macrolide export ATP-binding/permease protein MacB	SO:0001217, UniRef:UniRef50_A0A1U9YYC1
contig_1	cds	595912	596748	-	AAFOLC_02800		ABC transporter related	SO:0001217, UniRef:UniRef50_Q21CW3
contig_1	cds	596783	597436	+	AAFOLC_02805		Acyl-CoA thioesterase-1	SO:0001217, UniRef:UniRef50_A0A839P3J8
contig_1	cds	597532	598089	-	AAFOLC_02810		hypothetical protein	PFAM:PF12973.10
contig_1	cds	598127	599278	-	AAFOLC_02815		Glycerol dehydrogenase	SO:0001217, UniRef:UniRef50_A0A6P2E9W5
contig_1	cds	599278	600009	-	AAFOLC_02820		Short-chain dehydrogenase	SO:0001217, UniRef:UniRef50_J2XBG5
contig_1	ncRNA	600324	600691	-	AAFOLC_02825	RNaseP_bact_a	Bacterial RNase P class A	RFAM:RF00010, SO:0000386
contig_1	cds	600947	602554	+	AAFOLC_02830	mmdA	Acetyl-CoA carboxylase, carboxyltransferase component	COG:COG4799, COG:I, SO:0001217, UniRef:UniRef50_A0A670IYY8, UniRef:UniRef90_A7IGF9
